ID Name,Sample Name,Gear Type,Gear Type Code,Color,Primary Color If Multi,Gear Type If Multi,Language,Manufacturer,Brand,Manufacturing Country,Distributing Country,Link to photo,Comments:
FAD_019-001,FAD_019,Buoy,B,Multi,,,English/Arabic numbers,,,,,Entry_19,
FAD_047-001,FAD_047,Buoy,B,multi,multi,,English/Arabic numbers,,,,,Entry_47 ,
FAD_049-001,FAD_049,Buoy,B,multi,multi,,English/Arabic numbers,,,,,Entry_49 MM,
FAD_050-001,FAD_050,Buoy,B,multi,multi,,English/Arabic numbers,,,,,Entry_50 ,
FAD_053-001,FAD_053,Buoy,B,multi,multi,,English/Arabic numbers,,,,,,
FAD_150-001,FAD_150,Buoy,B,multi,multi,,English/Arabic numbers,,,,,Entry_150,
FAD_151-001,FAD_151,Buoy,B,multi,multi,,English/Arabic numbers,,,,,Entry_151,
FAD_154-001,FAD_154,Buoy,B,multi,multi,,English/Arabic numbers,,,,,Entry_154,
FAD_155-001,FAD_155,Buoy,B,multi,multi,,English/Arabic numbers,,,,,Entry_155 ,
FAD_48-001,FAD_48,Buoy,B,multi,multi,,English/Arabic numbers,,,,,Entry_48,
FAD_51-001,FAD_51,Buoy,B,multi,multi,,English/Arabic numbers,,,,,Entry_51,
FFS_03-001,FFS_03,float,FL,black,,,Chinese,,,,,FFS_03,
FFS_04-001,FFS_04,Float,FL,black,,,Chinese,,,,,FFS_04,
FFS_05-001,FFS_05,float,FL,orange,,,Latin letters/Chinese,Nanpao Plastic Co,,Taiwan,,FFS_05,
FFS_06-001,FFS_06,float,FL,black,,,Arabic numbers/Chinese,,,,,FFS_06,
HAW_01-001,HAW_01,Float,Fl,Yellow,,,Arabic numbers,,,,,Lab Photos,
HAW_01-001,HAW_01,Other,O,Blue,,,English,,,USA,,Lab Photos,
KUR_01-011,KUR_01,Hard Plastic,HP,blue,,,Arabic Numbers,,,,,KUR_01,
KUR_01-032,KUR_01,Hard Plastic,HP,black,,,Arabic Numbers,,,,,KUR_01,
KUR_02-005,KUR_02,Float,FL,black,,,English/ Arabic Numbers,,,,,KUR_02,
KUR_02-024,KUR_02,Float,FL,white,,,Chinese/ Arabic Numbers,,,,,KUR_02,
KUR_02-038,KUR_02,Float,FL,blue,,,Chinese/ Arabic Numbers,,,,,KUR_02,
KUR_06-008,KUR_06,Float,FL,blue,,,Chinese,Linhai Taozhou Fishing tackle Factory,,China,,KUR_06,
KUR_06-008,KUR_06,Float,FL,blue,,,Chinese,Dongyang fishing gear factory ,,China,,KUR_06,
KUR_06-011,KUR_06,float,FL,blue,,,Chinese,,,,,KUR_06 #11,
KUR_06-011,KUR_06,float,FL,blue,,,Chinese,,,,,KUR_06 #11,
KUR_06-011,KUR_06,float,FL,blue,,,Chinese,,,,,KUR_06 #11,
KUR_06-049,KUR_06,Float,FL,blue,,,Chinese,,,,China,KUR_06,
KUR_06-001,KUR_06,float,FL,white,,,Arabic numbers,,,,,KUR_06,
KUR_06-008,KUR_06,Float,FL,blue,,,Arabic numbers/Chinese,,,,,KUR_06,
KUR_06-008,KUR_06,Float,FL,blue,,,Arabic numbers/Chinese,,,,,KUR_06,
KUR_06-015,KUR_06,Float,FL,green,,,Arabic numbers/Chinese,,,,,KUR_06,
KUR_06-019,KUR_06,Float,FL,white,,,Arabic numbers/Chinese,,,,,KUR_06,
KUR_06-022,KUR_06,Float,FL,white,,,Arabic numbers/Chinese,,,,,KUR_06,
KUR_06-026,KUR_06,other,O,multi,,,Arabic numbers/Chinese,,,China,,KUR_06,
KUR_06-029,KUR_06,Float,FL,green,,,Arabic numbers/Chinese,,,,,KUR_06,
KUR_06-031,KUR_06,Float,FL,blue,,,Chinese,,,,,KUR_06,
KUR_06-033,KUR_06,line,M,multi,,,Arabic numbers/Chinese,,,South Korea,,KUR_06,
KUR_06-048,KUR_06,other,O,white,,,Arabic numbers/English,,,,,KUR_06,
KUR_06-049,KUR_06,Float,FL,white,,,Arabic numbers/Chinese,,,,,KUR_06,
KUR_06-054,KUR_06,Multiple,M,multi,,,Arabic numbers/Chinese,,,China,,KUR_06,
KUR_06-057,KUR_06,line,L,multi,,,Arabic numbers/English,,,,,KUR_06,
KUR_06-065,KUR_06,Float,FL,blue,,,Chinese,,,,,KUR_06,
KUR_06-067,KUR_06,Float,FL,black,,,English,,,,,KUR_06,
KUR_06-076,KUR_06,Float,FL,white,,,Arabic numbers,,,,,KUR_06,
KUR_06-076,KUR_06,Float,FL,white,,,Arabic numbers,,,,,KUR_06,
KUR_06-082,KUR_06,Float,FL,blue,,,Arabic numbers/Chinese,,,,,KUR_06,
KUR_07_Buoy-001,KUR_07_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,6 sides and labels,
KUR_08_Buoy-001,KUR_08_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,6 sides and labels,
KUR_09_Buoy-001,KUR_09_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,6 sides and labels,
LAY_02-023,LAY_02,Float,FL,white,,,Arabic Numbers,,,,,LAY_02,
LAY_06-001,LAY_06,-,-,red,,,Latin letters/Japanese,,,,,LAY_06,
LAY_13_Buoy-001,LAY_13_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,NO PHOTOS,
LAY_13_Buoy-001,LAY_13_Buoy,Float,FL,yellow,yellow,,English,,,,,NO PHOTOS,
LAY_14_Buoy-001,LAY_14_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,NO PHOTOS,
LAY_15_Buoy-001,LAY_15_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,NO PHOTOS,
LIS_04-001,LIS_04,-,-,yellow,,,latin letters/arabic numbers,,,,,Lab_subsamples,
LIS_06_Buoy-001,LIS_06_Buoy,Buoy,B,multi,multi,,English/Arabic numbers,,,,,6 sides and labels,
MAU_02-011,MAU_02,-,-,red,,,Japanese,,,Japan,,Lab Subsamples,
MAU_02-031,MAU_02,-,-,white,,,Japanese,Ishida Rope Co Ltd,,Japan,,Lab Subsamples,
MAU_02-057,MAU_02,hard plastic,HP,black,,,arabic numbers,,,,,Lab Subsamples,
MID_01-003,MID_01,Float,FL,blue,,,Arabic numbers/Chinese,Xiong Hua Plastic Company,,,,MID_01,
MID_01-003,MID_01,Float,FL,blue,,,Arabic numbers/Chinese,Xiong Hua Plastic Company,,,,MID_01,
MID_02-011,MID_02,FLoat,FL,blue,,,Chinese,Xinan Xionghua Plastic Factory,,China?,,MID_02,
MID_02-012,MID_02,Float,FL,blue,,,Chinese,,,,,MID_02,
MID_02-013,MID_02,Float,FL,yellow,,,Chinese,,,,,MID_02,
MID_02-014,MID_02,Float,FL,white,,,Chinese,,,,,MID_02,
MID_02-015,MID_02,Float,FL,blue,,,Chinese,,,,,MID_02,
MID_02-019,MID_02,Float,FL,blue,,,Chinese,,,,,MID_02,
MID_02-021,MID_02,Float,FL,blue,,,arabic numbers,,,,,MID_02,
MID_03-005,MID_03,Metal,MT,multi,silver,Metal,arabic numbers,,,,,MID_03 Lab samples ,
MID_03-027,MID_03,Float,FL,orange,orange,Float,Chinese,,,,,MID_03 Lab samples ,
MID_03-029,MID_03,Float,FL,orange,orange,Float,Japanese,,,,,MID_03 Lab samples ,
MID_03-002,MID_03,Float,FL,red,red,Float,Vietnamese,,,,,MID_03,
MID_03-003,MID_03,Float,FL,red,red,Float,Vietnamese,,,,,MID_03,
MID_04_greennets-064,MID_04_greennets,Net,N,green,,Net,Japanese,,,,,,
MID_04_Line-038,MID_04_Line,Float,FL,blue,,,Chinese,,,,,Lab Samples,
MID_04_Line-058,MID_04_Line,-,-,multi,-,-,English/Arabic Numbers,,,,,Lab Samples,
MID_04_Line-062,MID_04_Line,Other,O,yellow,-,-,English,,,,,Lab Samples,
